,Description,ConduitType
39546,2 inch car flex,CONDUIT - FLEX
39577,XENTURY ADJ,CONDUIT - ENT
40022,1in emt,CONDUIT - EMT
40024,1in pvc,CONDUIT - PVC
40049,"1"" PVC TA's",CONDUIT - PVC
40056,1’ PVC SCHEDULE 80,CONDUIT - PVC
40058,3/4 PVC SCHEDULE 80,CONDUIT - PVC
40114,2 1/2 inch emt 10ft sticks,CONDUIT - EMT
40118,"EMT Conduit, 3"", Steel, 10'",CONDUIT - EMT
40125,"EMT Conduit, 1-1/4"", Steel, 10",CONDUIT - EMT
40236,2 1/2 emt,CONDUIT - EMT
40275,2/1/2 emt,CONDUIT - EMT
40282,"EMT 3"" Pipe",CONDUIT - EMT
40291,2 1/2 flex,CONDUIT - FLEX
40296,1 1/2 emt 30s,CONDUIT - EMT
40315,3/4 pvc TA,CONDUIT - PVC
40340,3/4 seal-tight flex,CONDUIT - FLEX
40341,1/2 seal-tight flex,CONDUIT - FLEX
40370,2-1/2 FLEX STL CONDUIT,CONDUIT - FLEX
40390,"3/4"" FLEX STL CONDUIT",CONDUIT - FLEX
40408,Conduit 3 type UL Liquidtight,CONDUIT - FLEX
40413,PVC Primer Quart,CONDUIT - PVC
40419,"1"" pvc TAs",CONDUIT - PVC
40432,1/2 in emt,CONDUIT - EMT
40438,1 1/4 SEALTIGHT FLEX,CONDUIT - FLEX
40455,2 1/2 in pvc TA,CONDUIT - PVC
40457,2 1/2 emt 30s,CONDUIT - EMT
40459,2 1/2 emt LB,CONDUIT - EMT
40468,3/4 pvc f/a,CONDUIT - PVC
40511,1-1/2 Car flex,CONDUIT - FLEX
40540,1-1/2 rigid pipe,CONDUIT - GRC
40549,1”1/2 EMT CONDUIT,CONDUIT - EMT
40555,3/4 EMT pipe,CONDUIT - EMT
40604,"2-1/2"" Flex STL Conduit",CONDUIT - FLEX
40613,EMT Conduit 1“,CONDUIT - EMT
40949,"1-1/2"" PVC MA",CONDUIT - PVC
40953,"3"" PVC MA",CONDUIT - PVC
40955,"1-1/4"" PVC",CONDUIT - PVC
40956,"2"" PVC  ",CONDUIT - PVC
40971,"3/4"" PVC SCH 40 (20' Sticks)",CONDUIT - PVC
40973,"1 ""  PVC SCH 40 (20' Sticks)",CONDUIT - PVC
40974,"1 -1/4""  PVC SCH 40",CONDUIT - PVC
40978,"4"" PVC SCH 40 (20' Sticks)",CONDUIT - PVC
41014,3 IN. PVC SCH 40,CONDUIT - PVC
41017,3 IN SCH 40 PVC,CONDUIT - PVC
41024,SCH 40 3/4 PVC,CONDUIT - PVC
41033,3/4 SCH 40 PVC,CONDUIT - PVC
41204,SCH 80- 1 IN PVC,CONDUIT - PVC
41205,"SCHEDULE 40 3/4"" PVC",CONDUIT - PVC
41226,2IN RIGID PIPE,CONDUIT - GRC
41227,1 1/2 RIGID PIPE,CONDUIT - GRC
41228,1 IN. RIGID PIPE,CONDUIT - GRC
41267,1 IN. SCH 40 PVC,CONDUIT - PVC
41323,"3/4"" FLEX CONDUIT",CONDUIT - FLEX
41324,"1/2"" FLEX CONDUIT",CONDUIT - FLEX
41345,"1"" GRC Minni's",CONDUIT - GRC
41358,"2"" GRC Weatherhead",CONDUIT - GRC
41359,"3"" GRC Weatherhead",CONDUIT - GRC
41378,"1-1/4"" PVC LB",CONDUIT - PVC
41379,"3"" PVC LB",CONDUIT - PVC
41413,[Carflex NonMetallic Liquidtig,CONDUIT - FLEX
41437,3 1/2 IN. PVC SCH 40,CONDUIT - PVC
41441,F-C-3010 STI WF sealent 5 Gall,CONDUIT - ENT
41446,4 IN. SCH 80 PVC,CONDUIT - PVC
41447,1 1/2 sch 80 pvc,CONDUIT - PVC
41448,SCH 80 3 IN. PVC,CONDUIT - PVC
41449,1 1/2 SCH. 40 PVC,CONDUIT - PVC
41451,1 1/2 PVC MA,CONDUIT - PVC
41453,1 1/2 SCH 80 PVC,CONDUIT - PVC
41454,3 IN. PVC LR,CONDUIT - PVC
41479,3 IN SCH. 40 PVC,CONDUIT - PVC
41490,4IN. NM LIQUID TIGHT FLEX,CONDUIT - FLEX
41494,1 1/4 LBE PVC,CONDUIT - PVC
41495,4 IN PVC LBE,CONDUIT - PVC
41509,4 IN SCH 40 PVC,CONDUIT - PVC
41510,3 IN. SCHEDULE 80 PVC,CONDUIT - PVC
41511,2 IN. SCHEDLE 80 PVC,CONDUIT - PVC
41518,1 IN. LB PVC,CONDUIT - PVC
41519,3/4 IN. LB PVC,CONDUIT - PVC
41528,3/4 NM LT FLEX,CONDUIT - FLEX
41535,3 1/2 in. PVC MA,CONDUIT - PVC
41551,3 in. PVC MA,CONDUIT - PVC
41570,2 in. PVC LBE,CONDUIT - PVC
41571,3 IN PVC SCH 40,CONDUIT - PVC
41573,3/4 PVC MA,CONDUIT - PVC
41592,2 in sch 40 pvc,CONDUIT - PVC
41603,2 IN METAL LT FLEX,CONDUIT - FLEX
41665,PVC 1 1/4 sch40,CONDUIT - PVC
41764,PVC 100 1-IN-PVC-SCHED-40-COND,CONDUIT - PVC
41811,3 in sch 40 PVC,CONDUIT - PVC
42322,"Blue ENT, 3/4"", 1000' reel",CONDUIT - ENT
42348,"3/4"" PVC( 120- 10 ft sticks) *",CONDUIT - PVC
42357,PVC heat gun,CONDUIT - PVC
42385,1-IN BLUE ENT COND,CONDUIT - ENT
42390,1-1/4 BLU ENT COND,CONDUIT - ENT
42409,"CTX 5133668 2"" PVC LB",CONDUIT - PVC
42442,4-STEEL THINWALL CONDUIT,CONDUIT - GRC
42527,"3"" Greenfield Flex",CONDUIT - FLEX
42535,"2"" Greenfield Flex",CONDUIT - FLEX
42538,"3/4"" Greenfield Flex",CONDUIT - FLEX
42571,"1"" EMT Red",CONDUIT - EMT
42604,"2"" Red EMT",CONDUIT - EMT
42623,"3/4"" EMT Red",CONDUIT - EMT
42787,3/4 Green field flex,CONDUIT - FLEX
42790,"1"" Red EMT",CONDUIT - EMT
42866,"1"" EMT ( 2000ft total)",CONDUIT - EMT
42869,100ft Roll of 3/4 Flex,CONDUIT - FLEX
42888,"2000ft of 3/4"" EMT",CONDUIT - EMT
42898,"10ft 2 1/2"" EMT",CONDUIT - EMT
42929,"100ft Red 2"" EMT",CONDUIT - EMT
42943,"1"" RED EMT",CONDUIT - EMT
42977,"WI LT FLEXMT COND 50FT X 2""",CONDUIT - FLEX
43093,2 1/2 EMT/RIGID TO FLEX CONT,CONDUIT - FLEX
43114,MULTIGRIP PIPE THINWALL IMC RG,UNK
43142,2 EMT TO FLEX CONT,CONDUIT - FLEX
43160,"2"" Conduit Pulling C",UNK
43629,"4"" PVC Schedule 40  (20' secti",CONDUIT - PVC
43630,"2"" PVC Schedule 40",CONDUIT - PVC
43633,"3/4"" PVC Schedule 40",CONDUIT - PVC
43635,"4"" PVC Schedule 40  (10' secti",CONDUIT - PVC
43647,"2"" PVC weatherhead",CONDUIT - PVC
43677,Charlotte Pipe 2 in. PVC Socke,CONDUIT - PVC
43778,"1"" PVC conduit Schedule 40",CONDUIT - PVC
43782,"1"" PVC MA",CONDUIT - PVC
43800,"12"" x 12"" x 4"" PVC Junction Bo",CONDUIT - PVC
43904,"1"" PVC LB",CONDUIT - PVC
43920,Carlon B120R or equivalent,CONDUIT - ENT
43953,LQT NM0501000RL 1/2-IN-FLEX-NM,CONDUIT - FLEX
43963,"1"" EMT LB",CONDUIT - EMT
44081,"3/4"" PVC (500' total)",CONDUIT - PVC
44095,3/4 PVC SCH48,CONDUIT - PVC
44098,PVC 075 3/4-PVC-SCHED-40-CONDU,CONDUIT - PVC
44103,LQT NM200-CUT 2-IN-FLEX-NM-LIQ,CONDUIT - FLEX
44106,AI NMLT200  2IN PVC LT STR CON,CONDUIT - PVC
44117,"3/4"" PVC conduit",CONDUIT - PVC
44134,"3/4"" PVC LB",CONDUIT - PVC
44141,KLEIN TOOLS 25FT MULTI FLEX GL,CONDUIT - FLEX
44185,HUSKY1-1/4 in. Ratcheting PVC ,CONDUIT - PVC
44187,HALEX1/2 in. Rigid Conduit Loc,CONDUIT - GRC
44486,"3"" Schedule 80 PVC Conduit",CONDUIT - PVC
44489,"3"" PVC Weatherhead",CONDUIT - PVC
44496,"3"" PVC Conduit",CONDUIT - PVC
44514,"4""  PVC Conduit",CONDUIT - PVC
44555,"3"" PVC Sweep",CONDUIT - PVC
44557,"[ENT] 3/4"", 1000'",CONDUIT - ENT
44601,"1"" sch40 PVC",CONDUIT - PVC
44666,"Cor-Line 3/4"" ENT #012009 100",CONDUIT - ENT
44692,1 ENT BLUE COND SMURF TUB,CONDUIT - ENT
44724,all thead 10ft lenth,CONDUIT - ENT
44738,"4"" EMT Conduit, 10'",CONDUIT - EMT
44741,SMBS-H-15 PVC SHALLOW SLAB BO,CONDUIT - PVC
44821,1 “ Schedule 40 pvc conduit,CONDUIT - PVC
44863,"1/2"" Carflex NM Flexible Condu",CONDUIT - FLEX
44890,"4"" PVC Schedule 40",CONDUIT - PVC
44891,"1"" PVC Schedule 40",CONDUIT - PVC
44903,"1/2"" Flex",CONDUIT - FLEX
44917,"6"" x 6"" x4"" Deep PVC Gasketed ",CONDUIT - PVC
44989,"1"" Emt",CONDUIT - EMT
44995,"1/2"" Emt",CONDUIT - EMT
45001,PVC4TA,CONDUIT - PVC
45025,"4"" Emt",CONDUIT - EMT
45046,"1-1/2"" Schedule 80 PVC",CONDUIT - PVC
45062,"3/4"" PVC pulling L",CONDUIT - PVC
45079,"3/4"" sch40PVC",CONDUIT - PVC
45092,"1 1/4"" PVC Schedule 40",CONDUIT - PVC
45093,"1 1/2"" PVC Schedule 40",CONDUIT - PVC
45105,"3/4"" Flex",CONDUIT - FLEX
45127,3/4” CARFLEX,CONDUIT - FLEX
45133,1 1/4” EMT,CONDUIT - EMT
45136,3” RIGID PIPE,CONDUIT - GRC
45148,"1"" Metal Flex",CONDUIT - FLEX
45169,"3/4"" Emt",CONDUIT - EMT
45182,1 1/4” PVC SCHED 40,CONDUIT - PVC
45185,1/2” CARFLEX,CONDUIT - FLEX
45212,"3"" Flex",CONDUIT - FLEX
45262,"2"" PVC LB Condulet",CONDUIT - PVC
45263,"3/4"" PVC LB Condulet",CONDUIT - PVC
45342,"3/4"" Sealtite Flex",CONDUIT - FLEX
45354,"2 1/2"" Greenfield Flex",CONDUIT - FLEX
45359,"1 1/2"" Greenfield Flex",CONDUIT - FLEX
45898,"1-1/2"" GRC",CONDUIT - GRC
45903,"3"" GRC",CONDUIT - GRC
45949,"3/4"" PVC SCHEDULE 40",CONDUIT - PVC
45950,"1"" PVC SCHEDULE 40",CONDUIT - PVC
45951,"1-1/4"" PVC SCHEUDLE 40",CONDUIT - PVC
45952,"1-1/2"" PVC SCHEDULE 40",CONDUIT - PVC
45954,"2-1/2"" PVC SCHEDULE 40",CONDUIT - PVC
45955,"3"" PVC SCHEDULE 40",CONDUIT - PVC
46068,"1"" GRC ",CONDUIT - GRC
46082,"1-1/4""  EMT",CONDUIT - EMT
46181,"3"" EMT Conduit, 10'",CONDUIT - EMT
46408,"2"" Emt",CONDUIT - EMT
46424,"1/4"" all thread 6' lenths",CONDUIT - ENT
46482,"2"" EMT conduit",CONDUIT - EMT
46500,"3/4"" EMT Or 3/4"" Rigid/RMC, Co",CONDUIT - EMT
46920,4” PVC x 10’  pipe,CONDUIT - PVC
46950,"3/4"" Schedule 80 pvc",CONDUIT - PVC
46991,"1-1/2"" PVC",CONDUIT - PVC
47017,"4"" PVC",CONDUIT - PVC
47040,3/4 lb pvc,CONDUIT - PVC
47041,"1"" schedule 40 pvc conduit",CONDUIT - PVC
47130,"Rigid Conduit, 2"" Diameter, 1",CONDUIT - GRC
47145,"2"" Conduit - PVC 40",CONDUIT - PVC
47146,"2"" Conduit - RMC Galvanized",CONDUIT - GRC
47149,"12"" H x 12"" W x 6"" D PVC Junct",CONDUIT - PVC
47176,"2"" Conduit - ENT Orange - Rise",CONDUIT - ENT
47347,"Aluminum Flex, 1/2"", 1000' Ree",CONDUIT - FLEX
47381,PVC 1G nail on B120A,CONDUIT - PVC
47399,"2"" PVC LB",CONDUIT - PVC
47430,"2"" PVC conduit",CONDUIT - PVC
47551,1/2 EMT conduit,CONDUIT - EMT
47574,"4"" RIGID CONDUIT",CONDUIT - GRC
47596,POW PS-1300-AS-1-1/2-EG PIPE C,UNK
47636,Conduit Price: Per: FT Brand/M,UNK
47639,"3"" PVC schedule 40",CONDUIT - PVC
47642,"2"" PVC schedule 40",CONDUIT - PVC
47739,"1"" PVC CONDUIT SCHEDULE 40",CONDUIT - PVC
48135,2” PVC LB THREADED,CONDUIT - PVC
48144,1 1/2 pvc ma's,CONDUIT - PVC
48161,"1-1/4"" PVC Conduit, 10, Schedu",CONDUIT - PVC
48167,"[PVC] 1 1/4"", Schedule 40, 20'",CONDUIT - PVC
48177,1-1/2” PvC,CONDUIT - PVC
48223,1in pvc pipe 10' stick,CONDUIT - PVC
48230,MA ADPTR 2-1/2IN X 2.48IN PVC,CONDUIT - PVC
48237,"1-1/4"" PVC MA'S",CONDUIT - PVC
48253,"4""PVC SCH 40",CONDUIT - PVC
48254,"3""PVC SCH 40",CONDUIT - PVC
48263,"1"" PVC SCH 80 CONDUIT",CONDUIT - PVC
48269,101 PVC1 SCH40 COND 10',CONDUIT - PVC
48270,"2"" PVC CONDUIT",CONDUIT - PVC
48277,"1"" PVC SCH 40 PVC",CONDUIT - PVC
48278,"1-1/4"" PVC SCH 40 PVC",CONDUIT - PVC
48288,"3/4"" PVC Sch 40",CONDUIT - PVC
48323,1/2” PVC MA,CONDUIT - PVC
48433,EMT AC/MC 14/3 TO 10/3,CONDUIT - EMT
48455,"EMT 1-1/2"" Pipe",CONDUIT - EMT
48486,"2"" PVC MA'S",CONDUIT - PVC
48489,"4"" SCH 40 PVC",CONDUIT - PVC
48547,J123AL01 35043 ELBEMT4002212,CONDUIT - EMT
48548,123AL01 35043 ELBEMT4002212,CONDUIT - EMT
48562,"1""EMT",CONDUIT - EMT
48618,"3/4"" LIQUIDTIGHT METAL FLEXIBL",CONDUIT - FLEX
48626,"3"" PVC MA'S",CONDUIT - PVC
48663,"3/4"" PVC MA'S",CONDUIT - PVC
48664,"1"" PVC MA'S",CONDUIT - PVC
48682,"1/2"" LIQUID METAL FLEXABLE CON",CONDUIT - FLEX
48683,"3/4"" LIQUID METAL FLEXABLE CON",CONDUIT - FLEX
48769,LIQUID FLEXABLE METAL CONDUIT ,CONDUIT - FLEX
48803,"4"" PVC MA's",CONDUIT - PVC
48806,"3/4"" Flexible Liquidtight Meta",CONDUIT - FLEX
48807,"3/4"" Flexible Liquid tight Met",CONDUIT - FLEX
48811,"3"" Flexible Liquid tight Metal",CONDUIT - FLEX
48877,"1/2"" FLEX GREENFIELD",CONDUIT - FLEX
48928,"1/2"" FLEXABLE NON-METALIC LIQU",CONDUIT - FLEX
48957,3'' EMT INS BSHG,CONDUIT - EMT
48961,12 in. x 12 in. x 6 in. PVC Ju,CONDUIT - PVC
49412,"1 1/4"" Sch 40 PVC",CONDUIT - PVC
49550,GALVANIZED CUT PIPE 1 IN. X 18,CONDUIT - GRC
49557,3/4” Gray SEALTIGHT,CONDUIT - FLEX
49564,3/4” Sealtight,CONDUIT - FLEX
49596,Carflex 1 1/4,CONDUIT - FLEX
49602,1/2” Steel FLEX,CONDUIT - FLEX
49667,"EMT Conduit, 4"", Galvanized S",CONDUIT - EMT
49679,Thomas & Betts TC712ART EMT Co,CONDUIT - EMT
49688,"2"" x 4"" Galvanized Conduit Nip",CONDUIT - GRC
49689,"2-1/2"" x 3"" Galvanized Conduit",CONDUIT - GRC
49690,"3"" x 3"" Galvanized Conduit Nip",CONDUIT - GRC
49714,smurf ENT tube 1”,CONDUIT - ENT
49933,"[PVC] 1 1/2"", Schedule 80, 10'",CONDUIT - PVC
50095,3'' PVC,CONDUIT - PVC
50096,2'' PVC,CONDUIT - PVC
50337,(Metallic Flexible Conduit Con,CONDUIT - FLEX
50398,"[ENT] 1 1/4"", 50'",CONDUIT - ENT
50437,1 1/4 greenfield flex,CONDUIT - FLEX
50602,"2"" emt pipe",CONDUIT - EMT
50604,belden 9729 or equivalent,CONDUIT - ENT
51013,3/4” None Metalic Carlon Flex ,CONDUIT - FLEX
51017,3/4” None Metalic Carlon Flex,CONDUIT - FLEX
51024,1-1/4”       Schl 40   pvc  Co,CONDUIT - PVC
51025,1-1/2”       Schl 40   pvc  Co,CONDUIT - PVC
51027,2-1/2”       Schl 40   pvc  Co,CONDUIT - PVC
51029,3-1/2 ”       Schl 40   pvc  C,CONDUIT - PVC
51033,1-1/4”       Schl 40   pvc  Ma,CONDUIT - PVC
51034,1-1/2”       Schl 40   pvc  Ma,CONDUIT - PVC
51035,2-1/2”       Schl 40   pvc  Ma,CONDUIT - PVC
51037,3 -1/2 ”       Schl 40   pvc  ,CONDUIT - PVC
51041,1-1/4”       Schl 40   pvc  Fe,CONDUIT - PVC
51042,1-1/2”       Schl 40   pvc  Fe,CONDUIT - PVC
51044,2-1/2”       Schl 40   pvc  Fe,CONDUIT - PVC
51046,3-1/2”       Schl 40   pvc  Fe,CONDUIT - PVC
51063,3-1/2”       Schl 40   pvc  F,CONDUIT - PVC
51065,3/4 Pvc Schl 40,CONDUIT - PVC
51066,1” Pvc Schl 40,CONDUIT - PVC
51067,1-1/2” Pvc Schl 40,CONDUIT - PVC
51068,2” Pvc Schl 40,CONDUIT - PVC
51069,2 -1/2”Pvc Schl 40,CONDUIT - PVC
51070,3-1/2”Pvc Schl 40,CONDUIT - PVC
51071,4”Pvc Schl 40,CONDUIT - PVC
51074,3” Pvc Schl 40,CONDUIT - PVC
51077,1-1/2 “ Pvc Schl 40,CONDUIT - PVC
51080,3/4” Pvc Pipe Schl 40,CONDUIT - PVC
51105,1-1/4”Pvc Schl 40,CONDUIT - PVC
51106,1-1/2”Pvc Schl 40,CONDUIT - PVC
51114,1” pvc conduit schl 40,CONDUIT - PVC
51115,3/4” pvc conduit schl 40,CONDUIT - PVC
51119,1” non metallic flexible Liqud,CONDUIT - FLEX
51125,"2"" PVC SCH 40 CONDUIT",CONDUIT - PVC
51126,"1.5"" PVC SCH 40 CONDUIT",CONDUIT - PVC
51127,"1"" PVC SCH 40 CONDUIT",CONDUIT - PVC
51133,3/4 “ pvc,CONDUIT - PVC
51134,1“ pvc,CONDUIT - PVC
51135,1-1/2”pvc,CONDUIT - PVC
51152,3” pvc schl 40,CONDUIT - PVC
51194,3” Emt Conduit,CONDUIT - EMT
51195,1-1/4” Emt Conduit,CONDUIT - EMT
51198,1” Emt Conduit,CONDUIT - EMT
51256,"2"" PVC ",CONDUIT - PVC
51257,"4"" PVC ",CONDUIT - PVC
51261,1/2” Emt Conduit ,CONDUIT - EMT
51262,3/4” Emt Conduit ,CONDUIT - EMT
51284,1” emt conduit,CONDUIT - EMT
51285,1/2” emt conduit,CONDUIT - EMT
51286,3” flex metal,CONDUIT - FLEX
51288,1-1/4”metal flex,CONDUIT - FLEX
51294,1-1/2” emt conduit,CONDUIT - EMT
51306,1/2” none metalic flex carlon ,CONDUIT - FLEX
51323,4” emt conduit,CONDUIT - EMT
51324,3” emt conduit,CONDUIT - EMT
51325,3/4” emt conduit,CONDUIT - EMT
51327,FLEXCON 2,CONDUIT - FLEX
51329,1/2”non metallic flexible Lqui,CONDUIT - FLEX
51345,1/2” none metal carflex,CONDUIT - FLEX
51351,3-1/2” emt cnduit,CONDUIT - EMT
51353,1-1/4” emt conduit,CONDUIT - EMT
51354,2” emt conduit,CONDUIT - EMT
51377,3/4”emt,CONDUIT - EMT
51444,3-1/2 X 12-GALVANIZED CONDUIT ,CONDUIT - GRC
51445,3-1/2”  none metallic flex. - ,CONDUIT - FLEX
51495,"1/2"" AL flex",CONDUIT - FLEX
51807,1-1/2 Pvc MA’s,CONDUIT - PVC
51814,2-1/2 Pvc MA,CONDUIT - PVC
51816,2-1/2 Scd 80 Pvc,CONDUIT - PVC
51818,1-1/2 Scd 80 Pvc,CONDUIT - PVC
51819,1-1/2 Scd 80 PVC,CONDUIT - PVC
51820,1-1/2 PVC MA’s,CONDUIT - PVC
51856,"1/2"" EMT FOR STAKES",CONDUIT - EMT
51858,"6"" SCHEDULE 40 PVC",CONDUIT - PVC
51867,PVC 600 6-IN-PVC-SCHED-40-COND,CONDUIT - PVC
51990,Arlington FLBC5500 Pvc Round F,CONDUIT - PVC
51991,4” Scd 40 Pvc,CONDUIT - PVC
52018,2'' PVC CONDUITS,CONDUIT - PVC
52041,3/4'' PVC Conduit,CONDUIT - PVC
52043,1'' PVC Conduit,CONDUIT - PVC
52064,1-1/4 PVC,CONDUIT - PVC
52074,"1 1/2"" PVC",CONDUIT - PVC
52098,1000' Of 4'' PVC conduit,CONDUIT - PVC
52103,2000' Of  4'' PVC Conduits 20F,CONDUIT - PVC
52104,4'' PVC Conduits 10FT STICK,CONDUIT - PVC
52125,3/4” EMT conduit,CONDUIT - EMT
52126,1/2”EMT conduit,CONDUIT - EMT
52129,1/2'' EMT CONDUIT,CONDUIT - EMT
52132,300' 2' PVC conduit,CONDUIT - PVC
52134,20' 2'' seal Tight Flex,CONDUIT - FLEX
52144,20' -1 1/4'' seal Tight Flex,CONDUIT - FLEX
52161,1 1/4in emt pipe,CONDUIT - EMT
52174,"1/2 "" EMT",CONDUIT - EMT
52229,2' EMT ,CONDUIT - EMT
52230,"1 1/2"" EMT ",CONDUIT - EMT
52239,100'-3/4'' Rigid conduit,CONDUIT - GRC
52240,100' 1'' Rigid conduit,CONDUIT - GRC
52254,2'' EMT CONDUIT,CONDUIT - EMT
52255,2 1/2'' EMT CONDUIT,CONDUIT - EMT
52261,1-1/2 EMT,CONDUIT - EMT
52337,"1/2"" Metal Flex",CONDUIT - FLEX
52432,3'' EMT  Plastic Throated Con,CONDUIT - EMT
52487,1-RIGID CONDUIT,CONDUIT - GRC
52506,14' Of 4'' seal Tight Flex,CONDUIT - FLEX
52517,16' Of Seal Tight Flex,CONDUIT - FLEX
52527,1 1/2'' EMT conduits,CONDUIT - EMT
52543,2-RIGID CONDUIT,CONDUIT - GRC
52551,1'' EMT Conduit,CONDUIT - EMT
52582,40' -1 1/4'' Green Field Flex,CONDUIT - FLEX
52583,40' 1 1/2'' Green Field Flex,CONDUIT - FLEX
52586,1-roll 1'' Green Field Flex,CONDUIT - FLEX
52587,1-roll 3/4'' Green Field Flex,CONDUIT - FLEX
52590,1 1/4'' EMT Conduits,CONDUIT - EMT
52591,1 1/2'' EMT Conduits,CONDUIT - EMT
52592,60' Of 2'' EMT Conduits,CONDUIT - EMT
52593,3'' EMT Conduits,CONDUIT - EMT
52628,1-1/4-STEEL THINWALL CONDUIT,CONDUIT - GRC
52648,800'-1 1/4'' EMT Conduit,CONDUIT - EMT
52649,500'-1 1/2'' EMT Conduit,CONDUIT - EMT
52650,80'-3'' EMT Conduit,CONDUIT - EMT
52662,3/4'' Seal Tight Flex,CONDUIT - FLEX
52663,1 1/2'' Seal Tight Flex,CONDUIT - FLEX
52672,100'-1 1/2'' Rigid Conduits,CONDUIT - GRC
52673,100'- 2'' Rigid Conduit,CONDUIT - GRC
52674,40'- 2 1/2'' Rigid Conduit,CONDUIT - GRC
52743,80' 2'' Rigid Conduit,CONDUIT - GRC
52744,80'-2 1/2'' Rigid Conduit,CONDUIT - GRC
52748,2'' Seal Tight Flex,CONDUIT - FLEX
52749,2 1/2'' Seal Tight Flex,CONDUIT - FLEX
52776,3/4'' green field St Flex Con,CONDUIT - FLEX
52791,1''EMT Conduits,CONDUIT - EMT
52794,1'' Seal Tight Flex,CONDUIT - FLEX
52795,1'' Rigid Conduit,CONDUIT - GRC
52824,12' -2 1/2'' SEAL TIGHT FLEX,CONDUIT - FLEX
52848,160'  1 1/2'' EMT conduits,CONDUIT - EMT
52853,200' 3/4'' Rigid Conduit,CONDUIT - GRC
52920,1/2'' EMT Conduits,CONDUIT - EMT
52921,1'' EMT Conduits,CONDUIT - EMT
52923,"1"" Metal Flex Greenfield",CONDUIT - FLEX
52937,20' of 4'' Seal Tight Flex,CONDUIT - FLEX
52986,"1 1/4"" metal flex conduit",CONDUIT - FLEX
53018,30' 2'' Rigid Conduits,CONDUIT - GRC
53099,3/4'' Mater bundle EMT Conduit,CONDUIT - EMT
53629,FLX ALC400RW25CL 4-IN-FLEX-ALU,CONDUIT - FLEX
53679,"10' Sticks 2-1/2"" PVC Sch 40 ",CONDUIT - PVC
53690,"10' Stick 1-1/2"" PVC Sch 40 (T",CONDUIT - PVC
53691,"10' Sticks 4"" PVC Sch 40 (Tota",CONDUIT - PVC
53692,"10' Sticks 2-1/2"" PVC Sch 40 (",CONDUIT - PVC
53695,"320' 4"" PVC Sch 40",CONDUIT - PVC
53712,"10' Sticks 1/2"" EMT (Total 200",CONDUIT - EMT
53721,2” carflex,CONDUIT - FLEX
53840,"4"" PVC sched 40",CONDUIT - PVC
53841,"3/4"" PVC sched 40",CONDUIT - PVC
53842,"1"" PVC sched 40",CONDUIT - PVC
53843,"1.25"" PVC sched 40",CONDUIT - PVC
53844,"1.5"" PVC sched 40",CONDUIT - PVC
53846,"2.5"" PVC sched 40",CONDUIT - PVC
53847,"3"" PVC sched 40",CONDUIT - PVC
53857,"3/4"" grc conduit",CONDUIT - GRC
53858,"1""x10' GRC conduit (to prefab)",CONDUIT - GRC
53865,GRC 1  008PR,CONDUIT - GRC
53877,"2"" GRC CONDUIT X 10'",CONDUIT - GRC
53885,"3"" PVC Sched 40 X 800'",CONDUIT - PVC
53888,"1"" Sched 40 PVC",CONDUIT - PVC
53889,"2"" Sched 40 PVC",CONDUIT - PVC
53901,"1.25"" CARFLEX @ 30'",CONDUIT - FLEX
53902,"3/4"" CARFLEX @ 100'",CONDUIT - FLEX
53903,"3/4"" PVC MA",CONDUIT - PVC
53914,"4"" PVC SCHED 40 @ 10'",CONDUIT - PVC
53922,"1"" PVC SCHED 40",CONDUIT - PVC
53928,1-1/4 L/T FLEX PVC,CONDUIT - FLEX
53952,1'' GRC OVER QT 006701,CONDUIT - GRC
53957,"EMT 1"" CONDUIT",CONDUIT - EMT
53984,"2.5"" EMT CONDUIT 10'",CONDUIT - EMT
54032,"1/2""  STL FLEX",CONDUIT - FLEX
54047,"1.25"" STL FLEX",CONDUIT - FLEX
54054,"4"" STL FLEX",CONDUIT - FLEX
54059,"EMT 1 "" CONDUIT",CONDUIT - EMT
54093,"3"" STL FLEX",CONDUIT - FLEX
54111,"EMT 1.25"" CONDUIT",CONDUIT - EMT
54112,"EMT 1.5"" CONDUIT",CONDUIT - EMT
54113,"EMT 2"" CONDUIT",CONDUIT - EMT
54114,"EMT 2.5"" CONDUIT",CONDUIT - EMT
54115,"EMT 3"" CONDUIT",CONDUIT - EMT
54116,"EMT 4"" CONDUIT",CONDUIT - EMT
54173,"3/4"" STL FLEX",CONDUIT - FLEX
54174,"1"" STL FLEX",CONDUIT - FLEX
54175,"2.5"" STL FLEX",CONDUIT - FLEX
54254,"2"" STL FLEX",CONDUIT - FLEX
54272,"1.5"" EMT",CONDUIT - EMT
54303,"1"" GRC  150LF",CONDUIT - GRC
54329,"1.25"" EMT",CONDUIT - EMT
54359,"2"" GRC X 10'",CONDUIT - GRC
54363,"master bundle 3/4"" EMT",CONDUIT - EMT
54365,"3/4""x10' GRC",CONDUIT - GRC
54397,"2""GRC",CONDUIT - GRC
54421,"3/4"" EMT SS STL INS THROAT CON",CONDUIT - EMT
54464,"2"" PVC Sched 40 @ 200'",CONDUIT - PVC
54467,"1"" PVC @ 200'",CONDUIT - PVC
54470,"2"" PVC X 10' Sched 40",CONDUIT - PVC
54471,"2"" carflex",CONDUIT - FLEX
54475,"3/4"" EMT @ 3000'",CONDUIT - EMT
