Description,Label
"[EMT] 3 1/2"", 10' Sticks",Conduit
#4 THHN CU (BLUE),Wire
#12 solid White THHN 500' reel,Wire
"Blue ENT, 1/2"", 200' Coil",Exclude
3/0 SER Cable 3C+G Alu,Wire
(3) 4/0 With (1) #4 Ground,Wire
#6 THWN CU GREEN,Wire
"[PVC] 5"", Schedule 40, 10' St",Conduit
malox,Exclude
poured in place inserts 3/8”,Exclude
1 1/2 EMT 30's,Conduit
3 gang white finish plate togg,Exclude
raised metal 4 sq. cover 5/8 d,Exclude
#12 THHN solid green,Wire
12/3 romex,Wire
"6/32 x 2"" Phillips head machin",Exclude
2/O XHHW AL Wire,Wire
EGS RB-4 NEER 1X3/4 REDUCING B,Exclude
1” Pvc Couplings,Exclude
"1/4"" Strut Cone Nut",Exclude
Bottles of Nolox,Exclude
12 thhn solid black,Wire
#10 THHN Green solid 2500' spo,Wire
350 Aluminum XHHW,Wire
"2"" Rigid conduit",Conduit
4/0 XHHW Alum black (wire cut ,Wire
#8 Copper Wire - GREEN,Wire
"3"" Conduit - Site PVC 40",Conduit
760' 250 MCM Alu XHHW Wire (Bl,Wire
"3/4"" CONDUIT HANGER STRAP (MIN",Exclude
"10"" grounding pigtails 12 AWG",Exclude
4” PVC LB,Conduit
"3/8""X1-1/4"" FENDER WASHERS",Exclude
LOAD CENTER QO FILLER PLATE,Exclude
1 1/4 LBE PVC,Conduit
"1"" PVC",Conduit
10/3 NM-B ROMEX (1000' SPOOLS),Wire
#12 THHN Blue Stranded 2500' r,Wire
thhn-12-str-grn-500s,Wire
"1 1/4"" PVC Conduit (10 FT stic",Conduit
PANDUIT SR-750-1Y Splicer/Redu,Exclude
#10 THHN Green,Wire
CADWELD 150PLUSF20,Exclude
[Carflex NonMetallic Liquidtig,Conduit
"4"" Schedule 40 PVC",Conduit
12/2 Mc,Wire
3” carflex,Conduit
Ilsco ACO-4/0 Al Cmp 4/0 T Ul ,Wire
"4"" metallic flex",Conduit
#2 Alum XHHW,Wire
"1 1/2"" EMT PIPE",Conduit
"4"" PVC MA",Conduit
"12-2 MC CABLE BROWN, GREY, GRE",Wire
"EMT Conduit, 1-1/2"", Galvaniz",Conduit
# 10  AWG CU THWN Green with ,Wire
"3/4"" EMT Couplings",Exclude
"1/2"" blue ENT",Conduit
1/0 AWG SER single Phase (1000,Wire
"3"" flexible metal conduit",Conduit
EMT100,Conduit
Blue Tape,Exclude
350 Wire XHHW-2 / RW90 - Alum,Wire
ELECTRICAL UNDERGROUND ENCLOSU,Exclude
"[XHHW Wire] Blue, 10 AWG, Copp",Wire
"2"" ""bang on bushing""",Exclude
10-3 SO cord,Exclude
"3/4"" Smurf Conduit",Conduit
"PVC Elbow 4"", Schedule 40, 90D",Exclude
"1/2"" Mule Tape, 1250lb, 5000 ",Exclude
1” steel flex,Conduit
"1 1/4"" rise plaster ring (4"" s",Exclude
"[PVC] 4"", Schedule 40, 10' Sti",Conduit
"3"" EMT Conduit",Conduit
NA/7210602/G30346S/55904/07888,Wire
"4"" Sch 40 PVC",Conduit
# 10 awg  THHN Solid Blue,Wire
THHN No. 10 White Copper,Wire
"9"" sawzall blades metal",Exclude
#4awg XHHW AL WIRE,Wire
4S DEEP,Exclude
raco 260 boxes,Exclude
concrete mix 80 pounds,Exclude
14/2 MC,Wire
"PVC Glue - 1-Quart, Brush Top",Exclude
2' EMT ,Conduit
10-32 Green Ground Screws,Exclude
500 MCM XHHW AL,Wire
"1 1/2"" GRC COUPLING PVC Coated",Exclude
074 XHHW-2-AL-2/0-STR-BLK-CUT,Wire
THHN 2 SOL,Wire
"4 X 2 1/8"" ROUND PLASTIC NAIL ",Exclude
"167 P1119AS EG RS COND CLMP 3""",Exclude
"1/2"" FLEX CONDUIT",Conduit
Neptco 10722 Polyester MuleTa,Exclude
#4 Green THHN solid Cu,Wire
"[THHN Wire] Green, 6 AWG, Alum",Wire
"Single-Pole Toggle Switch, 15A",Exclude
3 x 330' 4/0 thhn copper wire,Wire
PVC 07520 3/4-PVC-SCHED-40-20F,Conduit
3-STEEL THINWALL CONDUIT,Conduit
12/3 Copper MC Cable,Wire
1/2” carflex,Conduit
"1/4 20 x 3/4""",Exclude
two gang bell box in use cover,Exclude
"[THWN/2 Wire] Green, 10 AWG, C",Wire
12/4-(2 hots-2 tracer neutral-,Wire
"Reducing Bushing, Threaded, 3/",Exclude
SAWZALL BLADES BI METALL 9” Wo,Exclude
"ground rod, 10 mil thickness,",Exclude
12/2 CU MC Cable Solid,Wire
18/2 T-stat cable spool,Wire
"Master bundle of 1"" EMT",Conduit
2” Sleeves,Exclude
"3/4"" smurf gray",Conduit
#8 copper thhn Red (275'),Wire
12 THHN/THWN red ,Wire
COUP - BATTERIES,Exclude
"18""x18""x6"" jbox",Exclude
160'of 4/0 CU THHN X4,Wire
1/2 BLACK BUTTONS,Exclude
4/0 thhn orange cu,Wire
4/0-4/0-4/0-2 Aluminum MC,Wire
"8-32 x 1"" Steel Round Head Mac",Exclude
"3/4"" Steel Thinwall Conduit (",Conduit
Ipex 089145 ent support,Exclude
#10 Red THHN Copper Solid - 25,Wire
COP THHN4STRBLU500RL THHN-4-BL,Wire
1/4x1-1/4 tapcons,Exclude
CJ6 010308,Exclude
1 1/2'' Seal Tight Flex,Conduit
#4 THHN CU SOLID BARE,Wire
2/0 Cu THHN Blue,Wire
"2"" PVC TA",Conduit
"1 1/4""  PVC SCH 40",Conduit
2500ft roll #12 THHN Blue,Wire
"4"" Conduit -Site  PVC 40",Conduit
4 x 4 adjustable mudrings,Exclude
Roll Brown Phase Tape,Exclude
"2G 1"" 7H WP Box Mtl",Exclude
"1-1/4"" PVC SCH 40 PVC",Conduit
"2"" ENT",Conduit
250 mcm  XHHW Aluminum ,Wire
950' 400 MCM Alu XHHW Wire (Bl,Wire
1/2 inch PVC,Conduit
3” Aluminum Rigid Conduit,Conduit
"4"" PVC F/A",Conduit
"3/4"" steel flex",Conduit
PVC COND 2,Conduit
8/2 MC copper,Wire
8/2 MC (1000' REELS),Wire
WIC MCA 10/3 SOL 250C,Exclude
THHN 3  STR GRN,Wire
2''  EMT UNSTRUT STRAPS,Exclude
#1 AWG THHN WHITE ALUMINUM WIR,Wire
3/4” pvc,Conduit
3/4” sch   pvc,Conduit
Dry Erase Markers,Exclude
"1"" LiquidTight Conduit",Conduit
6/3 Mc cable,Wire
TP252 cut in box,Exclude
"3/4"" pvc LBs",Conduit
1/2 carflex,Conduit
"2-1/2"" EMT COMP CONN STL",Exclude
"3/4"" PVC F/A",Conduit
"[PVC] 4"", Schedule 40, 20' St",Conduit
5 hole 3/4” bell box,Exclude
3/4 emt mineralac,Conduit
"2 1/2"" EMT Conduit",Conduit
"1 1/4"" seal tight straight con",Exclude
EMT 050 1/2X10FT-EMT,Conduit
"3/4"" EMT Or 3/4"" Rigid/RMC, Co",Conduit
4x4 deep boxes,Exclude
"1"" ENT , Gray tube",Conduit
1000ft roll #8 THHN Orange,Wire
3/4 in. x 10 ft. Electric Meta,Exclude
400 XHHW-2 Stranded Aluminum B,Wire
hilti GC 22  FUEL CELL,Exclude
3/4 FORM7 SHT STL COV W/ MOLDE,Exclude
#12 THHN CU RED,Wire
#8 copper thhn Black (275'),Wire
"[THHN Wire] Green, 3/0 AWG, C",Wire
CM-BMA-6,Exclude
#1 xhhw al black,Wire
"2"" PVC Elbows 90 Standard",Exclude
Pass & Seymour TV3W-W Recesse,Exclude
"1"" PVC Male Adapter with Lockn",Exclude
MILWAUKEE 48-73-4014 VALVED RE,Exclude
"1"" FMC FLEX",Conduit
#10 THHN Blue,Wire
FLETC TACTICAL - 2373185,Exclude
"1"" PVC @ 200'",Conduit
#4 romex 4 wire with ground,Wire
6”x 6” X 4” Metal enclosure i,Exclude
#12 black thhn,Wire
3/4- STEEL THINWALL CONDUIT,Conduit
3” EMT,Conduit
1/0 aluminum xhhw,Wire
# 2  AWG CU THWN Green with y,Wire
1000' #6 ground cable green al,Wire
"1/2"" flex",Conduit
"3"" EMT 22",Conduit
#8 THHN GREEN COPPER WIRE,Wire
4S S1 RS COVERS,Exclude
#2 XHHW Aluminum Green,Wire
3/4 compression connectors,Exclude
#10 THHN GRAY,Wire
"[XHHW Wire] Blue, 350 MCM AWG,",Wire
#6 Green THHN Wire,Wire
3/4'' green field St Flex Con,Conduit
"3 1/2"" pvc connector",Exclude
feet #12 green thhn thwn wire,Wire
#12 Thhn  Green stranded,Wire
#12/4C W/GROUND SOLID CABLE MC,Wire
2 RIGID CONDUIT COUPLING,Exclude
"3"" EMT CONDUIT",Conduit
1 1/2” seal 90 degree connecto,Exclude
1 1/2 EMT SS COUPLING,Exclude
NO-THRD CONN 2,Exclude
"3"" EMT Conduit, 10'",Conduit
caulk gun for 2 part epoxy,Exclude
2500 spools of  # 8 awg Blue T,Wire
"2 1/2"" EMT STEEL CMPRESSION C",Conduit
GREEN  # 12 awg THHN ( 500 FOO,Wire
"3"" Schedule 40 PVC",Conduit
1/2” emt,Conduit
3/4'' PVC Conduit,Conduit
2'' EMT CONDUIT,Conduit
"PVC Conduit, 4"", 20', Schedule",Conduit
1/2 STL FLEX REDC WALL UL 100,Conduit
233 4-30D-EMT-ELL,Conduit
10/4 Romex,Wire
# 4 Bare Solid Copper,Exclude
1/0 al xhhw,Wire
"3/4"" EMT Conduit, 10'",Conduit
#2 AL Wire,Wire
CARLON A863CF BOXES,Exclude
Rust-Oleum Professional15 oz. ,Exclude
"3/4"" metallic flexible conduit",Conduit
"1"" PVC SCHEDULE 40",Conduit
"[ENT] 1 1/4"", 50'",Conduit
CES38FHNUSSZJ,Exclude
Calbrite S6072DPLTS 1G SS Dupl,Exclude
"[THHN Wire] Green, 4 AWG, Copp",Wire
Paint roller,Exclude
Hampton Bay Photocell to add D,Exclude
3/16 sds bit,Exclude
A 5-3/4 in. Black Door Pu,Exclude
"Link Seals 4"" PVC EATON LSA30",Conduit
24 packs of bottled water,Exclude
COP THHN10STRWHT500RL THHN-10-,Wire
2-1/2”       Schl 40   pvc  Co,Conduit
"[Cable Tie] 12"", Black, Plenum",Exclude
THHN-300-STR-YEL-CU,Wire
"EMT CONDUIT, 3/4"", GALVANIZED ",Conduit
#12 Red THHN solid copper 500 ,Wire
"EMT 2 1/2"" CONDUIT",Conduit
carflex 3/4,Conduit
"3/4"" PVC pulling L",Conduit
"3"" emt compression connectors",Exclude
"1 ""  PVC SCH 40 (20' Sticks)",Conduit
4 11/16 blank covers,Exclude
"10' rigid conduit 3""",Conduit
"5"" PVC Conduit, 10', Schedule ",Conduit
"1/2"" NM Cable Connector, Push-",Exclude
Arlington BE1-5 Box Extender,Exclude
"2/0 - THHN, CU, STR - BLK,RED,",Wire
EMT COND 3/4,Conduit
250 MCM THHN/THWN-2 STRANDED,Wire
# 12 thhn green solid (2500' r,Wire
1/2-STEEL THINWALL CONDUIT,Conduit
12/2 With Ground MC Cable,Wire
"2"" PVC MA",Conduit
"SDS 3/16"" masonry drill bit (5",Exclude
MC-CABLE-12/3-277V,Wire
1 1/2'' EMT Conduits,Conduit
3M UTILITY DUCT TAPE 1.88 X 50,Exclude
500mcm Copper THHN,Wire
#6 AL XHHW,Wire
Calbrite S61000MH00 Conduit H,Conduit
1 1/2 pvc pipe,Conduit
250' coils 12/2 aluminum MC ca,Wire
"[THHN Wire] Red, 10 AWG, Coppe",Wire
"1"" PVC Sch.40 Conduit 10' Pipe",Conduit
2” EMT,Conduit
bridgeport 280SP,Exclude
cut 30' 2/0 thhnthwn wire whit,Wire
"2.5"" PVC Coated GRC",Conduit
"4"" EMT 100'",Conduit
Red Dot IH3-1-LM 1/2INCH D-T D,Exclude
600 Xhhw,Wire
"10' Stick 1-1/2"" PVC Sch 40 (T",Conduit
"3"" PVC Coupling",Exclude
#12 GREEN THHN CU,Wire
2 Inch Myers Hubs,Exclude
"[THHN Wire] Yellow, 14 AWG, Co",Wire
#3/0 3wire with ground CU mc ,Wire
"2"" Conduit - ENT Orange - Rise",Conduit
14/3 CU MC Cable Solid,Wire
STL FLEX 2-1/2,Conduit
12/2 Aluminum Armored Cable Co,Wire
Black #10 str,Wire
"3/8"" Nut",Exclude
"3"" pvc LB",Conduit
2” carflex,Conduit
3/4 PVC LB,Conduit
4/0 to 3/4” groundrod through ,Wire
4” PVC 48” Sweep 90’s,Exclude
2'' Seal Tight Flex,Conduit
"2 1/2""steel flex greenfield co",Conduit
#14 stranded Black thhn 500 Ft,Wire
Arlington FLBC5500 Pvc Round F,Conduit
"1 1/2"" SCH 40 PVC",Conduit
"1"" Smurf",Conduit
Luminary MC 12/2 brown/gray 1,Wire
PLS BUSH 1-1/2,Exclude
14 AWG THHN STRANDED YELLOW,Wire
#6 AWG Green,Wire
330' #4 thhn copper wire - gre,Wire
# 4 green thhn cu,Wire
12/2 UF/NMC Copper Grey,Wire
"3/4"" Metallic Flex ( Greenfiel",Conduit
"3/4"" INSULATED GROUNDING BUSHI",Exclude
"1/2"" IMC CONDUIT",Conduit
#12 Awg THHN GREEN copper Soli,Wire
14/2 MC Cable FPLP,Wire
COP THHN10SOLBLK500RL THHN-10-,Wire
IPEX INC IS3545,Exclude
6IN PVC FEMALE ADAPTERS,Exclude
1” pvc schedule 40,Conduit
#8AWG THHN CU Stranded Black,Wire
"Drop-In Anchor, Anchor Size 3/",Exclude
4SQ DEEP BOXES 3/4” KOS,Exclude
"1"" PVC FEMALE ADAPTERS",Exclude
Wire 16/2 Sol Unshield. FPLR R,Wire
"4"" Rigid Metal Conduit",Conduit
2” Ridgid Conduit,Conduit
"3/4"" schedule 40 pvc",Conduit
"3/4"" PVC Shed 40",Conduit
"Service Entrance Cable, SE-R, ",Wire
#10 Red THHN CU,Wire
"3/4"" emt mini straps",Exclude
"[THHN Wire] Brown, 4 AWG, Copp",Wire
"1 1/2"" rigid conduit",Conduit
roof boots,Exclude
2 Inch Greenfield Flex Steel,Conduit
FLEX ALUM 1/2 CUT REEL CONDUIT,Conduit
Cat6 Unshielded Twisted Pair ,Wire
#6 Green THWN Stranded Wire,Wire
"1/2"" 90 degree flex conn",Exclude
3/4 IN. LB PVC,Conduit
#2 Blue copper Thhn,Wire
"1 1/2"" flex  (greenfield)",Conduit
"3/4"" UNI STRUT STRAPS",Exclude
#2 copper THHN wire Brown,Wire
#6 THHN WIRE ORANGE,Wire
Caweld Cable CLEANER T313,Wire
#4 black thhn cu,Wire
"1-1/4"" PVC Conduit, 10, Schedu",Conduit
AP484848M15HBL,Exclude
(115PLUSF20) cadweld shots,Exclude
"1-1/4"" NON-UL FLEX L/T MET CON",Conduit
"1"" PVC Pipe",Conduit
CANTEX 1 IN. 90 DEGREE BELL-EN,Exclude
"2"" SEAL TIGHT FLEX",Conduit
6/2 RMX 1000,Exclude
1 1/2 NPT IRON C FORM 7 CNDT B,Conduit
"[XHHW Wire] Red, 350 MCM AWG, ",Wire
1 AWG XHHW-2 Stranded Aluminu,Wire
PVC COUP 2,Exclude
"1"" Ground Choke Fitting HUB100",Exclude
2 inch pvc schedule 80,Conduit
"3/4"" PVC MA's",Conduit
"[EMT] 3"", 10' Sticks",Conduit
"EMT CONDUIT, 1/2"", GALVANIZED ",Conduit
12-2 mc cable (blk wht grn),Wire
BOENHeavy Duty Blue Poly Tarp ,Exclude
15 AMP TOGGLE SW WHT,Exclude
"Carlon E942E 3/4"" Female Term",Exclude
1 1/4 SEALTIGHT FLEX,Conduit
1 ½” emt ,Conduit
1' PVC CONDUIT SCHEDULE 40,Conduit
HALEX 3/8 IN. FLEXIBLE METAL C,Conduit
ELECTRICAL BOX BRACKET TO STUD,Exclude
Dottie FENW141 Flat Washer,Exclude
"3,400' 2-1/2"" EMT 10' Sections",Conduit
single gang drywall bracket (M,Exclude
1000ft roll #8 THHN Brown,Wire
"12""x12""x6ft wireway/trough NEM",Exclude
F-Clips for cut in boxes,Exclude
#300 XHHW Aluminum B/R/BLU/W,Wire
"4-11/16"" Blank Plate",Exclude
12/2 MC CABLE (1000' REELS),Wire
3” RIGID Threaded CAP,Exclude
"4"" PVC 90's Sweeps 36""",Exclude
Blue wire nuts 22-14 AWG,Exclude
THHN No. 12 Solid White,Wire
"3/4"" PVC SCHEDULE 40",Conduit
"8"" x 8"" x 4"" PVC JUNCTION BOX",Exclude
"2"" PVC Conduit, 10', Schedule",Conduit
2-1/2 INCH LOCKNUT MADE IN USA,Exclude
2/0 AL MC cable black red whit,Wire
6/3C Non-Metallic Cable NM-B ,Wire
thhn 10 stranded black,Wire
"1"" RIGID Conduit",Conduit
"10-2 Mc brwn,gry,grn",Exclude
ELB EMT3002212 3-IN-22-1/2DEG-,Conduit
"3/4"" emt coduit",Conduit
"2"" PVC Pipe",Conduit
3” Locknuts,Exclude
C&I C-88-EC NEMA1 End Cap,Exclude
"1 1/4"" pvc sch 40",Conduit
"[Fire Alarm Cable] 14/2, Unshi",Wire
500 MCM XHHW-2 AL (BLACK),Wire
CANS BLUE MARKING PAINT,Exclude
Dewalt mini drop-in anchor ( 3,Exclude
LITTELFUSE FLNR175,Exclude
"EMT Conduit, 1"", Steel, 10'",Conduit
3/4”Smurf,Conduit
#12 thhn stranded red,Wire
4 sq blank cover,Exclude
#10 AWG THHN STRANDED BLACK WI,Wire
#10 GREEN THHN - 2500' SPOOLS,Wire
250 KCMIL Alum XHHW,Wire
"3/4"" pvc pipe 10' sticks",Conduit
"10' Sticks 2-1/2"" PVC Sch 40 (",Conduit
"1-1/4"" PVC Conduit, 20', Sched",Conduit
#12 yellow thhn,Wire
21015-257 NIP=FLEX,Conduit
"2"" EMT Conduit, 10'",Conduit
COP THHN1STRYEL-CUT MASTER CUT,Wire
small bottle of Teflon paste (,Exclude
"[THHN Wire] Yellow, 1/0 AWG, C",Wire
"1 1/2"" EMT Set Screw Connector",Exclude
"[EMT Strap] 4"", Mini, 2 Hole",Exclude
"1"" lock nuts",Exclude
"3"" car flex",Conduit
"2"" PVC Conduit, 10', Schedule ",Conduit
PVC Floor Box HUBBELL  RF 400,Exclude
"3/4""x10' GRC",Conduit
#6 AWG Green alum,Wire
Blue marking paint,Exclude
MILW 48-20-7514 BIT SDS 3/16 ,Exclude
"[MC] 10-2C w/ GND, Yellow/Gree",Exclude
1/0 THHN Copper Stranded,Wire
"[THWN/2 Wire] Red, 14 AWG, Cop",Wire
#500 XHHW Aluminum B/R/BLU/W,Wire
1 1/2 Minerallac Straps,Exclude
Phenolic Label,Exclude
"3/8"" Hex Nut",Exclude
# 10 Thhn white,Wire
14 THHN RED STRANDED 2500 SPO,Wire
"7/8"" Shallow strut",Exclude
"5/8"" x 8' Copper Ground Rods ",Exclude
1/2 nuts,Exclude
FLEX 1,Conduit
"3"" PVC MA",Conduit
PVC 125 1-1/4-PVC-SCHED-40-CON,Conduit
"3/4"" non metalic flex 1000' re",Conduit
2500ft roll #10 THHN Black,Wire
CES12FHNUSSZJ,Exclude
THHN-12-RED-SOL-CU-2500S/R,Wire
12-2 romex 1000' spool,Wire
"1/2"" EMT (1-hole strap)",Exclude
4 SQ OUTLET BOX 2 1/8 DP1 KO W,Exclude
#8 copper thhn,Wire
"1/2"" 90 STL FLEX CONN",Exclude
"Ideal 30-451 Wire Connector, ",Exclude
Z6F Fast+Simple Compression F ,Exclude
1/0 AWG RED AL THWN or XXHW. P,Wire
"5"" PVC SCH 40",Conduit
3/4” GRC,Conduit
2500' Roll #10 Orange THHN Wi,Wire
"Rigid Conduit, 1/2"", Galvanize",Conduit
"1 1/4"" PVC PIPE",Conduit
"[THWN/2 Wire] Brown, 14 AWG, C",Wire
"PVC 2"" SCH 40 CONDUIT",Conduit
3/4” Emt Conduit,Conduit
4'' PVC PIPE TRANSFER FROM ACE,Conduit
2/0 thhn gray cu,Wire
THHN 10 SOL BRN 006421 229940,Wire
FEET #12 THHN BLUE,Wire
PVC 100P 1IN SCH40 PVC PIPE,Conduit
ideal orange wirenuts,Exclude
14/2 FPLP UNS BLUE (SPEAKER),Wire
3/8” toggle bolts 3”,Exclude
20' of 4'' Seal Tight Flex,Conduit
#12 green thhn,Wire
"2"" to 1-1/4"" Reducing bushing",Exclude
"Arlington 846 MC/AC Connector,",Exclude
"1/2"" metal flex",Conduit
#4 THHN CU (BLACK),Wire
#6 THHN WHITE COPPER WIRE,Wire
BUYING BRANCH FEDEX,Exclude
"2"" x 10' pvc  ",Conduit
945' 400 MCM XHHW Alu Wire Bla,Wire
14/2 FPLP BLACK,Wire
6-2 MC Cable,Wire
233A 3-30D-EMT-ELL STD RAD,Conduit
"2 1/2"" Flex str connectors",Exclude
Cable Staples-cat Number-0345,Exclude
12awg stranded copper wire gre,Wire
"3"" bushings screw on plastic",Exclude
"100' Total 1-1/2"" PVC SCH 40",Conduit
1” Smurf,Conduit
2' EMT conduit,Conduit
STRONGHOLD CABLE TIE 11.81L (3,Exclude
"3/4"" Compression connectors",Exclude
1 750R ENT UL BL KWIKON RL PCO,Conduit
1-1/4” Emt Conduit,Conduit
"2-1/2"" PVC SCHEDULE 40",Conduit
"4""liquidtight flexable metal ",Conduit
Rolls of Tie Wire,Exclude
Appleton STSR100 1 In Wire Mes,Wire
"1"" pvc conduit",Conduit
14/2 romex 1000' reels,Wire
2 1/2 “ Pvc,Conduit
3/8 mc conn,Exclude
"1"" EMT conduit",Conduit
#350THHNORG,Wire
"PVC 1 1/2"" SCH 40 COUNDUIT",Conduit
"25 total - 1/4"" by 1-1/2"" Tapc",Exclude
4s duplex RS cover,Exclude
Duct Tap,Exclude
12”x 12”x 48” Wire gutter sol,Wire
4/0 THHN WHITE WIRE,Wire
# 10 awg THHN Red Solid ,Wire
2 hole strut L brackets,Exclude
3/0 ALUM. BLACK THWN OR XHHW P,Wire
"18/3 CU LV Wire, White, 1000' ",Wire
"4"" pvc threaded cap",Exclude
1/2 liquidtight conduit non me,Conduit
"[XHHW Wire] Green, 6 AWG, Alum",Wire
1/2-GALV; CONDUIT,Conduit
"[EMT] 1"" Conduit, Gray",Conduit
"12 AWG THHN WHT Solid Copper, ",Wire
Red Danger Tape,Exclude
2” PVC Sch 40,Conduit
"2 1/2"" PVC",Conduit
15A SP CONN,Exclude
1/4IN SPRING NUT HDG,Exclude
#2 AL XHHW,Wire
COP THHN12STRBRN2500RL THHN-12,Wire
3 pole 60s,Exclude
4sq Blank,Exclude
3/0 thhn copper green,Wire
"1 1/4"" emt",Conduit
#6 THHN BLACK COPPER WIRE,Wire
1 “ Male Pvc Adap,Exclude
Caddy512 Ceiling bracket,Exclude
GRC 6,Conduit
12 awg thhn black,Wire
#2 copper THHN wire Gray,Wire
#10 THHN Black stranded,Wire
"16 AWG TFFN, Pink, 500'",Wire
"single gang bell box (w/5-3/4""",Exclude
12/2 wire uf,Wire
"Rigid Conduit, 2"" Diameter, 1",Conduit
017MO01,Exclude
#4 THHN CU BLACK,Wire
METRO TAMPS,Exclude
Black Vinyl Tape (1700),Exclude
#12 THHN Copper Black,Wire
"3/4"" PVC T.A.'S",Conduit
case of 16oz water,Exclude
101 PVC1 SCH40 COND 10',Conduit
#10 thhn stranded  green coppe,Wire
"4"" EMT",Conduit
"disposable paint brushes (2"") ",Exclude
"EMT Conduit, 2"", Galvanized St",Conduit
"4sq 1"" raised double gang p-r",Exclude
2-RIGID CONDUIT,Conduit
"1"" EMT Minni ",Conduit
"400' x 4"" PVC Schedule 40",Conduit
"1 1/4"" 2 screw MC connector",Exclude
"HANDY BOXES W/ 1/2"" KO",Exclude
LT FLEX 2,Conduit
3/4 NM LT FLEX,Conduit
#10 GREEN THHN WIRE,Wire
1-1/2 EMT 45D,Exclude
Hubbell SystemOne Covers S1CFC,Exclude
"1"" Minni's",Exclude
JUNCTION BOX WITH COVER,Exclude
10/3 Copper MC Cable,Wire
1 1/2 RIGID PIPE,Conduit
3-1/2 X 12-GALVANIZED CONDUIT ,Conduit
cut 30' #2 thhn thwn wire blue,Wire
"CPS30 2"" Arlington Concrete Sl",Exclude
1-1/4 SCH40 COUPLING,Exclude
"2 1/2"" RIGID  90 - 36"" SWEEP",Exclude
2 1/2 inch emt 10ft sticks,Conduit
carflex,Conduit
sch 40 pvc 3/4,Conduit
XHHW 1 STR,Wire
SO Cable 10/2,Wire
#2 AWG White ,Wire
"1 1/2"" PVC",Conduit
"1/2"" EMT PIPE",Conduit
4” Pvc Conduit,Conduit
"1"" PVC (20' length)",Conduit
"1"" PVC L.B.",Conduit
"2"" PVC SCHEDULE 40",Conduit
1” EMT RED,Conduit
"4"" GRC Couplings",Exclude
"Appleton 4SD1 4"" Square Box, W",Exclude
"200' 1-1/4"" PVC Sch 40",Conduit
"[EMT Connector] 4"", Set Screw",Exclude
WO3709 AS2 12/4-2/1 ANTI SHRT,Wire
#4 THHN CU BROWN,Wire
2-1/2 Sealtite,Exclude
"Carlon A52171E 4"" ENT side nai",Conduit
2” Pvc Schl 40,Conduit
Romex Staples 1-3/4,Exclude
750 MC XHHW Aluminum,Wire
SOUTHWIRE 4 IN. W X 1/2 IN. D ,Wire
"[THHN Wire] Green, 1/0 AWG, Al",Wire
self-tapper screw hex head 1/2,Exclude
"3/4"" flex st",Conduit
"3/4"" Greenfield Flex",Conduit
EMT CMP CON 1/2,Conduit
Rolls of Red Phasing Tape,Exclude
4” metalic seal-tight 90 conne,Exclude
"PVC 3"" CONDUIT SCH 40 10'",Conduit
LEVITON WHITE 1-GANG TOGGLE WA,Exclude
Thomas & Betts LT150P Liquidt,Exclude
#10 THHN white Strand CU,Wire
insulated polaris tap 3 port- ,Exclude
"1/2""  ridgid pipe",Conduit
1/2 X CLOSE-GALVANIZED CONDUIT,Conduit
CRESTON SENSOR CABLE 3 WIRE 18,Wire
#18 AWG THHN 600 V Rated Black,Wire
"PVC
034P
3/4IN SCH40 PVC PIPE
",Conduit
2-1/2 Rigid Metal Conduit,Conduit
"1.5"" sch 40 pvc 10'",Conduit
#1 copper thhn,Wire
[Metallic Flexible Conduit Co,Conduit
4/0 THHN/THWN-2 STRANDED,Wire
EMT 1-1/4,Conduit
"3/4"" Steel Lock Nuts",Exclude
"two gang bell box (w/3-3/4"" KO",Exclude
1 1/2” Carflex/liquid tight no,Conduit
HEAT SHRINK TUBE 2,Exclude
14 AWG THHN STRANDED RED,Wire
"1"" GRC",Conduit
"3/4"" EMT Red",Conduit
24 x 24 x 6 nema 1 metal j box,Exclude
2 PORT POLARIS FOR #2 WIRE,Wire
"3"" pvc sch 80 10'",Conduit
TEMP STRING LIGHT 100FT 130W 1,Exclude
"Carlon 12008-750 Blue ENT, 1""",Conduit
#12 Wire solid white THHN,Wire
Heat Gun Heavy Duty 1700Watts,Exclude
"2"" Greenfield Flex",Conduit
4/0 BARE COPPER WIRE,Wire
Caddy 781 Anti Rattle Clip,Exclude
Yellow Caution Tape - One Roll,Exclude
#350 AL XHHW,Wire
"1 1/2"" LTFNMC (Car Flex)",Conduit
"10 AWG THHN SOLID COPPER, BROW",Wire
# 10 awg  THHN Solid Red ,Wire
"EMT 1 1/2"" Pipe",Conduit
#10 THHN Solid Yellow,Wire
PIPE STA TO MCA2,Conduit
"PVC 1"" SCH 40 ELBOW 90",Exclude
"2 1/2"" EMT conduit",Conduit
"[PVC] 3"", Schedule 40, 20’Stic",Conduit
3/4 Inch. ENT To 3/4 Inch. EM,Conduit
100' 1'' Rigid conduit,Conduit
"3/4"" PVC conduit",Conduit
#10 thhn solid white,Wire
THHN 10 STR GRY,Wire
10-2 RMX,Exclude
"[THHN Wire] Brown, 350 MCM, Al",Wire
COP RMX122WG1000RL NM-B-12/2-C,Wire
COP THHN14STRORN500RL THHN-14-,Wire
One Galon Pvc Glue ,Exclude
12 solid thhn cu white 1000' r,Wire
Green #8 THHN,Wire
72C1 4-11/16 CVR,Exclude
1in pvc pipe 10' stick,Conduit
